Var,number,estimate,ci.lb,ci.ub,filename
active,655,0.371246420740929,0.245875055042289,0.49661778643957,Cropland1.csv
passive,215,0.292228221723728,0.164856245767764,0.419600197679693,Cropland1.csv
SOC,164,0.252956847642155,0.110706421185993,0.395207274098317,Cropland1.csv
active,146,0.19141482613113,-0.125276680877673,0.508106333139933,Cropland1.csv
passive,54,-0.0158563366910012,-0.34281758904994,0.311104915667937,Cropland1.csv
SOC,42,0.0683318042794051,-0.262444410581462,0.399108019140272,Cropland1.csv
active,28,0.153402613520467,-0.343613021502507,0.650418248543441,Cropland2.csv
passive,25,0.175789710666072,-0.3324941710906,0.684073592422743,Cropland2.csv
SOC,19,-0.129341343612848,-0.64999563556006,0.391312948334363,Cropland2.csv
active,8,-0.150132228641495,-0.592564647631394,0.292300190348405,Cropland2.csv
passive,11,0.111839124355252,-0.316849251267856,0.54052749997836,Cropland2.csv
SOC,7,-0.144812263569226,-0.604150394169427,0.314525867030975,Cropland2.csv
active,1686,0.618387599211104,0.517770227987232,0.719004970434977,Cropland3.csv
passive,678,0.55877743904458,0.454340423800316,0.663214454288844,Cropland3.csv
SOC,500,0.554582108542778,0.448411050408929,0.660753166676628,Cropland3.csv
active,1467,0.419105687827865,0.275384379018075,0.562826996637654,Cropland3.csv
passive,606,0.242496527756391,0.0969090647128488,0.388083990799933,Cropland3.csv
SOC,369,0.235138302961092,0.0876962556341864,0.38258035028799797,Cropland3.csv
active,42,0.104724164532422,-0.275083651951647,0.484531981016491,Cropland4.csv
passive,42,0.194099099940116,-0.185300782837451,0.573498982717682,Cropland4.csv
SOC,42,0.140449154061153,-0.238867084951355,0.519765393073661,Cropland4.csv
active,470,0.350343792103716,0.227015006476151,0.473672577731282,Cropland5.csv
passive,183,0.340191635580752,0.216545754865182,0.46383751629632203,Cropland5.csv
SOC,169,0.343866605134687,0.208687982245596,0.479045228023777,Cropland5.csv
active,212,0.0823953811175521,-0.111891867099957,0.276682629335061,Cropland5.csv
passive,65,0.115023590974034,-0.115776835103549,0.345824017051617,Cropland5.csv
SOC,113,0.189283598845608,-0.0201638166857692,0.398731014376986,Cropland5.csv
active,55,0.396135165078377,0.13805947885533,0.654210851301424,Cropland6.csv
passive,20,-0.00542601887182755,-0.305624208142666,0.294772170399011,Cropland6.csv
SOC,22,0.258993764894937,-0.0329944125607941,0.550981942350669,Cropland6.csv
active,416,0.192716491036342,0.064269464083996,0.321163517988689,Grassland1.csv
passive,214,0.1874315455223,0.0576995287522298,0.317163562292369,Grassland1.csv
SOC,146,0.179386320956487,0.0408219045496414,0.317950737363333,Grassland1.csv
active,131,0.224393023573827,0.0187193167658339,0.43006673038182,Grassland1.csv
passive,67,0.294935184876646,0.0847319216987714,0.505138448054521,Grassland1.csv
SOC,38,0.32605585548113,0.0886683801172166,0.56344333084504294,Grassland1.csv
active,65,0.434631824494818,-0.00352885914677575,0.872792508136412,Grassland2.csv
passive,47,0.266085666332813,-0.173676848968938,0.705848181634564,Grassland2.csv
SOC,43,0.310881077669281,-0.128804903640663,0.750567058979224,Grassland2.csv
active,8,-0.291472599119769,-0.560296190615328,-0.0226490076242097,Grassland2.csv
passive,7,0.0371504080011829,-0.250234099664018,0.324534915666383,Grassland2.csv
SOC,7,0.0801747625726114,-0.207209745092589,0.367559270237812,Grassland2.csv
active,276,0.144595044489862,-0.047875641188744,0.337065730168469,Grassland3.csv
passive,110,-0.0847767932478588,-0.293183115549158,0.123629529053441,Grassland3.csv
SOC,61,0.0999611559765333,-0.124251158887711,0.324173470840778,Grassland3.csv
active,103,8.7437366139262e-4,-0.176891126767966,0.178639874090751,Grassland3.csv
passive,76,-0.135506697934132,-0.327039174472671,0.0560257786044068,Grassland3.csv
SOC,46,0.0123122749516096,-0.193256469070125,0.217881018973344,Grassland3.csv
active,35,-0.11210200342434,-0.647290129543313,0.423086122694632,Grassland4.csv
passive,14,0.489796458491319,-0.074076895611754,1.05366981259439,Grassland4.csv
SOC,19,0.0110405751920077,-0.536688845036888,0.558769995420903,Grassland4.csv
active,21,-0.0934359629605942,-0.7054588699196,0.518586943998411,Grassland4.csv
passive,8,0.0800365909441272,-0.613764887380886,0.773838069269141,Grassland4.csv
SOC,9,-0.149081342563206,-0.821943756134708,0.523781071008297,Grassland4.csv
active,264,0.152429467164556,-0.0952054874064622,0.400064421735575,Grassland5.csv
passive,127,-0.0763709948081964,-0.330477254355609,0.177735264739216,Grassland5.csv
SOC,80,0.0873295978036053,-0.174422292326583,0.349081487933794,Grassland5.csv
active,105,-0.0175238177986818,-0.440505779336057,0.405458143738693,Grassland5.csv
passive,48,0.0227105119122925,-0.406391577247397,0.451812601071982,Grassland5.csv
SOC,31,-0.055322046526558,-0.494471273054849,0.383827180001733,Grassland5.csv
active,38,0.155695735654901,-0.0762012285536023,0.387592699863404,Grassland6.csv
passive,38,-0.330464977471734,-0.558216242610728,-0.102713712332739,Grassland6.csv
SOC,6,-0.169933918231959,-0.637284891072147,0.297417054608228,Grassland6.csv
active,387,0.171629398566903,0.0770848994789406,0.266173897654866,Grassland9.csv
passive,118,0.0852675825603808,-0.0274931692849932,0.198028334405755,Grassland9.csv
SOC,93,0.119412031677542,0.00121630432963665,0.237607759025447,Grassland9.csv
active,78,-0.00334740353321558,-0.157466963550128,0.150772156483696,Grassland9.csv
passive,28,0.0664478179987872,-0.136030346858568,0.268925982856143,Grassland9.csv
SOC,20,0.0596800101050295,-0.187482690854323,0.306842711064382,Grassland9.csv
active,830,-0.243104476276721,-0.345153375709665,-0.141055576843777,Natural1.csv
passive,282,-0.232926607925211,-0.335182030072556,-0.130671185777866,Natural1.csv
SOC,217,-0.219475937556641,-0.335056495432784,-0.103895379680499,Natural1.csv
active,381,-0.405031376823424,-0.615496568328055,-0.194566185318793,Natural1.csv
passive,117,-0.382134853628854,-0.593813589204973,-0.170456118052736,Natural1.csv
SOC,61,-0.300160001852396,-0.523271179198101,-0.0770488245066912,Natural1.csv
active,38,-0.701926700898471,-1.43652586907424,0.0326724672773027,Natural2.csv
passive,19,-0.581314234654349,-1.32590892513288,0.163280455824179,Natural2.csv
SOC,18,-0.580217702796469,-1.32877736818475,0.168341962591814,Natural2.csv
active,6,-0.143605924792497,-1.1594775595167,0.872265709931707,Natural2.csv
passive,7,0.330212308937372,-0.684169171640519,1.34459378951526,Natural2.csv
SOC,10,0.277503123255166,-0.730334322104794,1.28534056861512,Natural2.csv
active,476,-0.321059104967165,-0.451632297241351,-0.190485912692979,Natural3.csv
passive,177,-0.407636730449916,-0.542823548950752,-0.272449911949079,Natural3.csv
SOC,140,-0.244109010370124,-0.37931030641823,-0.108907714322018,Natural3.csv
active,114,-0.169270873898879,-0.370224157607636,0.0316824098098772,Natural3.csv
passive,50,-0.153075761043191,-0.381071466644112,0.0749199445577299,Natural3.csv
SOC,28,-0.166774568559905,-0.424263100976821,0.0907139638570098,Natural3.csv
active,47,-0.361787955229726,-0.639094987826167,-0.0844809226332847,Natural4.csv
passive,8,1.0439679517467,0.547051995367942,1.54088390812545,Natural4.csv
SOC,17,0.0703573252629631,-0.284689532900859,0.425404183426785,Natural4.csv
active,227,-0.498116877393185,-0.670770184655396,-0.325463570130974,Natural5.csv
passive,78,-0.14687843561788,-0.355540975402667,0.061784104166908,Natural5.csv
SOC,76,-0.337946757759809,-0.54181352665591,-0.134079988863709,Natural5.csv
active,80,-0.228059271134922,-0.509693869531243,0.0535753272613979,Natural5.csv
passive,19,-0.296523550564879,-0.664771650965407,0.0717245498356487,Natural5.csv
SOC,30,-0.279355389395186,-0.613362792238359,0.0546520134479865,Natural5.csv
active,57,-0.859565467634851,-1.57843035944452,-0.140700575825179,Natural6.csv
passive,36,-0.604649820131208,-1.36222501450894,0.152925374246519,Natural6.csv
SOC,10,-0.695555742365174,-1.50369905745493,0.112587572724577,Natural6.csv
