id,facet,Group1,N ,OR,Lower,Upper,Landuse,group
3,0-30cm,Active,655,44.95402262,27.87397915,64.31543628,Cropland,T.ST
3,0-30cm,Passive,215,33.94086649,17.92235881,52.13531935,Cropland,T.ST
3,0-30cm,SOC,164,28.78277028,11.70669115,48.46918972,Cropland,T.ST
3,0-30cm,Sensitivity,211,10.40676357,-12.36095338,39.08929766,Cropland,T.ST
4,30+cm,Active,146,21.09616865,-11.77472337,66.21406722,Cropland,T.ST
4,30+cm,Passive,54,-1.57312868,-29.02323309,36.49324165,Cropland,T.ST
4,30+cm,SOC,42,7.07205192,-23.08308792,49.04946119,Cropland,T.ST
4,30+cm,Sensitivity,54,-13.63074478,-31.52522625,8.940093402,Cropland,T.ST
3,0-30cm,Active,1686,85.593312,67.82812898,105.2390006,Cropland,Temperate
3,0-30cm,Passive,678,74.85335042,57.51341194,94.10216425,Cropland,Temperate
3,0-30cm,SOC,500,74.12131946,56.58221952,93.62501044,Cropland,Temperate
3,0-30cm,Sensitivity,574,30.48236007,13.4537869,50.06679595,Cropland,Temperate
4,30+cm,Active,1467,52.06010553,31.70368189,75.56286478,Cropland,Temperate
4,30+cm,Passive,606,27.4426824,10.17601802,47.41535944,Cropland,Temperate
4,30+cm,SOC,369,26.50837215,9.165648716,46.60626682,Cropland,Temperate
4,30+cm,Sensitivity,515,18.09785815,2.671496323,35.84202627,Cropland,Temperate
3,0-30cm,Active,55,48.60701688,14.80438326,92.3623893,Cropland,Boreal
3,0-30cm,Passive,20,-0.541132462,-26.33366004,34.28203896,Cropland,Boreal
3,0-30cm,SOC,22,29.56257264,-3.245603433,73.49558083,Cropland,Boreal
3,0-30cm,Active,416,21.25389791,6.637971108,37.87310098,Grassland,T.ST
3,0-30cm,Passive,214,20.61476804,5.939662966,37.32271617,Grassland,T.ST
3,0-30cm,SOC,146,19.64828813,4.166657295,37.43085575,Grassland,T.ST
3,0-30cm,Sensitivity,226,12.64209896,-2.306748024,29.87839183,Grassland,T.ST
4,30+cm,Active,131,25.15628165,1.889562156,53.73601088,Grassland,T.ST
4,30+cm,Passive,67,34.30393066,8.842524439,65.72149428,Grassland,T.ST
4,30+cm,SOC,38,38.54927541,9.271822914,75.67110353,Grassland,T.ST
4,30+cm,Sensitivity,67,11.09368462,-3.793427867,28.28444553,Grassland,T.ST
3,0-30cm,Active,276,15.55715205,-4.674767497,40.08311376,Grassland,Temperate
3,0-30cm,Passive,110,-8.128267457,-25.4114455,13.15965697,Grassland,Temperate
3,0-30cm,SOC,61,10.51279896,-11.6842,38.28871769,Grassland,Temperate
3,0-30cm,Sensitivity,84,11.6478364,-7.871454068,35.30268221,Grassland,Temperate
4,30+cm,Active,103,0.087475604,-16.21289987,19.55901037,Grassland,Temperate
4,30+cm,Passive,76,-12.67266862,-27.89445045,5.762494748,Grassland,Temperate
4,30+cm,SOC,46,1.238838304,-17.57294529,24.34391132,Grassland,Temperate
4,30+cm,Sensitivity,61,-3.245099878,-20.2111196,17.32851308,Grassland,Temperate
3,0-30cm,Active,38,16.8470625,-7.337027656,47.3429534,Grassland,Boreal
3,0-30cm,Passive,38,-28.14104722,-42.77711285,-9.761472172,Grassland,Boreal
3,0-30cm,Active,830,-21.58104197,-29.1888262,-13.15589549,Natural,T.ST
3,0-30cm,Passive,282,-20.77882865,-28.47921148,-12.24937365,Natural,T.ST
3,0-30cm,SOC,217,-19.70605219,-28.47023258,-9.868041117,Natural,T.ST
3,0-30cm,Sensitivity,244,-18.21406233,-30.48362235,-3.778939207,Natural,T.ST
4,30+cm,Active,381,-33.30441164,-45.96275032,-17.68083068,Natural,T.ST
4,30+cm,Passive,117,-31.75969775,-44.7782666,-15.67199064,Natural,T.ST
4,30+cm,SOC,61,-25.93003021,-40.74210579,-7.415535141,Natural,T.ST
4,30+cm,Sensitivity,104,-24.83030816,-36.17479581,-11.46941645,Natural,T.ST
3,0-30cm,Active,476,-27.46196239,-36.34117981,-17.34425984,Natural,Temperate
3,0-30cm,Passive,177,-33.47795107,-41.88948451,-23.84884291,Natural,Temperate
3,0-30cm,SOC,140,-21.65977694,-31.56667733,-10.31868233,Natural,Temperate
3,0-30cm,Sensitivity,170,1.321201795,-12.9322415,17.90800763,Natural,Temperate
4,30+cm,Active,114,-15.57198211,-30.94204854,3.218963994,Natural,Temperate
4,30+cm,Passive,50,-14.19352885,-31.68709331,7.779786385,Natural,Temperate
4,30+cm,SOC,28,-15.36096072,-34.5748275,9.495576354,Natural,Temperate
4,30+cm,Sensitivity,50,-1.716973036,-15.69321745,14.57623096,Natural,Temperate
3,0-30cm,Active,57,-57.66540001,-79.37013411,-13.12506027,Natural,Boreal
3,0-30cm,Passive,36,-45.37343156,-74.39096621,16.52380189,Natural,Boreal
3,0-30cm,SOC,10,-50.12028318,-77.76936865,11.91702614,Natural,Boreal