id,facet,Group1,Landuse,group,number,OR,Lower,Upper
3,0-30cm,Active,Cropland,Agroforestry,211,46.97,21.87,77.22
3,0-30cm,Passive,Cropland,Agroforestry,99,7.98,-10.46,30.22
3,0-30cm,SOC,Cropland,Agroforestry,47,10.73,-10.32,36.72
3,0-30cm,Sensitivity,Cropland,Agroforestry,74,6.86,-11.04,28.37
4,30+cm,Active,Cropland,Agroforestry,91,4.05,-32.49,60.38
4,30+cm,Passive,Cropland,Agroforestry,37,32.84,-14.59,106.6
4,30+cm,SOC,Cropland,Agroforestry,38,42.77,-8.19,122
4,30+cm,Sensitivity,Cropland,Agroforestry,27,-29.33,-41.33,-14.87
3,0-30cm,Active,Cropland,Envrion.T,1507,68.67,57.3,80.87
3,0-30cm,Passive,Cropland,Envrion.T,718,40.95,31.43,51.15
3,0-30cm,SOC,Cropland,Envrion.T,545,45.83,34.65,57.93
3,0-30cm,Sensitivity,Cropland,Envrion.T,564,28.47,16.36,41.84
4,30+cm,Active,Cropland,Envrion.T,758,30.36,15.56,47.07
4,30+cm,Passive,Cropland,Envrion.T,385,17.81,4.28,33.1
4,30+cm,SOC,Cropland,Envrion.T,241,20.75,5.99,37.57
4,30+cm,Sensitivity,Cropland,Envrion.T,339,23.35,11.68,36.25
3,0-30cm,Active,Cropland,Eucalyptus,51,76.28,24.74,149.11
3,0-30cm,Passive,Cropland,Eucalyptus,20,68.78,14.05,149.78
3,0-30cm,SOC,Cropland,Eucalyptus,19,79.34,20.2,167.58
3,0-30cm,Sensitivity,Cropland,Eucalyptus,18,22.15,-13.3,72.09
4,30+cm,Active,Cropland,Eucalyptus,23,98.06,25.99,211.36
4,30+cm,Passive,Cropland,Eucalyptus,11,60.34,-0.22,157.66
4,30+cm,SOC,Cropland,Eucalyptus,8,97.44,21.72,220.27
4,30+cm,Sensitivity,Cropland,Eucalyptus,9,27.88,-9.39,80.47
3,0-30cm,Active,Cropland,Pine,413,53.85,35.81,74.29
3,0-30cm,Passive,Cropland,Pine,258,70.17,50.17,92.84
3,0-30cm,SOC,Cropland,Pine,144,59.65,37.86,84.88
3,0-30cm,Sensitivity,Cropland,Pine,182,61.41,26.31,106.26
4,30+cm,Active,Cropland,Pine,121,51.17,9.12,109.4
4,30+cm,Passive,Cropland,Pine,83,31.71,-5.8,84.15
4,30+cm,SOC,Cropland,Pine,31,54.88,8.8,120.47
4,30+cm,Sensitivity,Cropland,Pine,53,93.49,51.3,147.45
3,0-30cm,Active,Cropland,Poplar,181,15.87,0.78,33.22
3,0-30cm,Passive,Cropland,Poplar,67,19.13,2.25,38.8
3,0-30cm,SOC,Cropland,Poplar,51,23.87,3.71,47.95
3,0-30cm,Sensitivity,Cropland,Poplar,61,-1.44,-16.88,16.85
4,30+cm,Active,Cropland,Poplar,74,22.85,-3.02,55.62
4,30+cm,Passive,Cropland,Poplar,35,31.31,2.65,67.97
4,30+cm,SOC,Cropland,Poplar,32,23.28,-3.62,57.68
4,30+cm,Sensitivity,Cropland,Poplar,32,-1.82,-17.33,16.61
3,0-30cm,Active,Cropland,R.P.,611,93.99,66.87,125.53
3,0-30cm,Passive,Cropland,R.P.,214,62.8,39.92,89.43
3,0-30cm,SOC,Cropland,R.P.,173,92.14,63.89,125.25
3,0-30cm,Sensitivity,Cropland,R.P.,200,37.94,18.4,60.71
4,30+cm,Active,Cropland,R.P.,564,52.9,29.46,80.57
4,30+cm,Passive,Cropland,R.P.,195,22.96,3.82,45.63
4,30+cm,SOC,Cropland,R.P.,141,24.24,4.52,47.69
4,30+cm,Sensitivity,Cropland,R.P.,173,19.2,2.29,38.92
3,0-30cm,Active,Cropland,Treecrop,638,35.65,23.05,49.53
3,0-30cm,Passive,Cropland,Treecrop,238,33.67,20.81,47.9
3,0-30cm,SOC,Cropland,Treecrop,167,26.68,13.3,41.64
3,0-30cm,Sensitivity,Cropland,Treecrop,223,11.44,-1.3,25.83
4,30+cm,Active,Cropland,Treecrop,436,14.35,-1.45,32.68
4,30+cm,Passive,Cropland,Treecrop,181,10.29,-5.29,28.43
4,30+cm,SOC,Cropland,Treecrop,135,18.06,1.31,37.57
4,30+cm,Sensitivity,Cropland,Treecrop,173,-1.15,-12.49,11.67
3,0-30cm,Active,Grassland,Envrion.T,792,22.35,9.72,36.43
3,0-30cm,Passive,Grassland,Envrion.T,336,15.36,3.23,28.92
3,0-30cm,SOC,Grassland,Envrion.T,236,19.83,6.51,34.81
3,0-30cm,Sensitivity,Grassland,Envrion.T,274,9.38,-0.13,19.8
4,30+cm,Active,Grassland,Envrion.T,271,0.5,-15.73,19.86
4,30+cm,Passive,Grassland,Envrion.T,118,13.68,-5.18,36.3
4,30+cm,SOC,Grassland,Envrion.T,75,10.08,-9.49,33.88
4,30+cm,Sensitivity,Grassland,Envrion.T,101,3.99,-5.18,14.05
3,0-30cm,Active,Grassland,Eucalyptus,77,11.24,-9.43,36.63
3,0-30cm,Passive,Grassland,Eucalyptus,44,5.78,-14.28,30.53
3,0-30cm,SOC,Grassland,Eucalyptus,23,14.67,-7.99,42.91
3,0-30cm,Sensitivity,Grassland,Eucalyptus,35,0.44,-10.55,12.77
4,30+cm,Active,Grassland,Eucalyptus,34,-6.59,-45.22,59.29
4,30+cm,Passive,Grassland,Eucalyptus,17,1.48,-41.05,74.71
4,30+cm,SOC,Grassland,Eucalyptus,1,80.48,0,0
4,30+cm,Sensitivity,Grassland,Eucalyptus,17,8.09,-4.29,22.07
3,0-30cm,Active,Grassland,Pine,297,11.4,-4.07,29.38
3,0-30cm,Passive,Grassland,Pine,129,-8.46,-22.74,8.46
3,0-30cm,SOC,Grassland,Pine,88,3.27,-13.53,23.33
3,0-30cm,Sensitivity,Grassland,Pine,107,17.04,-6.25,46.11
4,30+cm,Active,Grassland,Pine,91,4.54,-15.59,29.47
4,30+cm,Passive,Grassland,Pine,68,-10.4,-28.75,12.67
4,30+cm,SOC,Grassland,Pine,29,-1.82,-24.7,28.01
4,30+cm,Sensitivity,Grassland,Pine,47,9.33,-12.51,36.61
3,0-30cm,Active,Grassland,Treecrop,148,-2.83,-21.12,19.7
3,0-30cm,Passive,Grassland,Treecrop,63,7.43,-12.96,32.59
3,0-30cm,SOC,Grassland,Treecrop,42,3.81,-17.06,29.93
3,0-30cm,Sensitivity,Grassland,Treecrop,59,10.46,-7.4,31.78
4,30+cm,Active,Grassland,Treecrop,35,-9.07,-29.01,16.46
4,30+cm,Passive,Grassland,Treecrop,17,-1.23,-24.51,29.22
4,30+cm,SOC,Grassland,Treecrop,22,-1.52,-24.46,28.38
4,30+cm,Sensitivity,Grassland,Treecrop,16,2.31,-14.65,22.66
3,0-30cm,Active,Natural,Envrion.T,865,-23.51,-32.46,-13.36
3,0-30cm,Passive,Natural,Envrion.T,346,-20.92,-30.29,-10.29
3,0-30cm,SOC,Natural,Envrion.T,217,-23.12,-32.82,-12.02
3,0-30cm,Sensitivity,Natural,Envrion.T,240,-14.44,-27.88,1.51
4,30+cm,Active,Natural,Envrion.T,401,-23.98,-34.17,-12.21
4,30+cm,Passive,Natural,Envrion.T,145,-22.89,-33.32,-10.83
4,30+cm,SOC,Natural,Envrion.T,86,-11.44,-24.74,4.22
4,30+cm,Sensitivity,Natural,Envrion.T,105,-21.88,-34.2,-7.25
3,0-30cm,Active,Natural,Eucalyptus,157,-16.75,-36.03,8.33
3,0-30cm,Passive,Natural,Eucalyptus,57,-22.39,-41.66,3.24
3,0-30cm,SOC,Natural,Eucalyptus,20,-17.18,-41.29,16.83
3,0-30cm,Sensitivity,Natural,Eucalyptus,51,12.33,-13.93,46.6
4,30+cm,Active,Natural,Eucalyptus,50,-29.45,-47.07,-5.96
4,30+cm,Passive,Natural,Eucalyptus,20,-11.26,-35.17,21.49
4,30+cm,SOC,Natural,Eucalyptus,4,7.4,-33,72.16
4,30+cm,Sensitivity,Natural,Eucalyptus,14,-18.68,-37.88,6.47
3,0-30cm,Active,Natural,Pine,468,-28.09,-36.7,-18.3
3,0-30cm,Passive,Natural,Pine,168,-27.44,-36.14,-17.55
3,0-30cm,SOC,Natural,Pine,109,-33.45,-43.26,-21.94
3,0-30cm,Sensitivity,Natural,Pine,150,-17.18,-31.35,-0.09
4,30+cm,Active,Natural,Pine,115,-29.92,-49.66,-2.45
4,30+cm,Passive,Natural,Pine,38,-30.56,-50.98,-1.63
4,30+cm,SOC,Natural,Pine,14,-31.77,-53.29,-0.34
4,30+cm,Sensitivity,Natural,Pine,33,-1.96,-18.97,18.63
3,0-30cm,Active,Natural,Treecrop,214,-26.9,-39.97,-10.99
3,0-30cm,Passive,Natural,Treecrop,47,-25.13,-40.39,-5.97
3,0-30cm,SOC,Natural,Treecrop,53,-20.46,-36.48,-0.39
3,0-30cm,Sensitivity,Natural,Treecrop,42,-10.72,-26.56,8.54
4,30+cm,Active,Natural,Treecrop,87,-16.37,-35.69,8.75
4,30+cm,Passive,Natural,Treecrop,31,-8.69,-32.12,22.82
4,30+cm,SOC,Natural,Treecrop,28,-11.49,-34.25,19.14
4,30+cm,Sensitivity,Natural,Treecrop,30,3.07,-15.5,25.72