id,Soil layer,group,N ,Landuse,filename,OR,Lower,Upper
3,0-30cm,Active,2649,Cropland,broadleaved,63.46,53.96,73.55
3,0-30cm,Passive,1074,Cropland,broadleaved,33.95,26.15,42.23
3,0-30cm,SOC,821,Cropland,broadleaved,48.63,39.14,58.75
3,0-30cm,LI,1132,Cropland,broadleaved,22.13,13.07,31.91
4,30+cm,Active,1646,Cropland,broadleaved,33.76,21.76,46.95
4,30+cm,Passive,680,Cropland,broadleaved,19.21,8.37,31.13
4,30+cm,SOC,519,Cropland,broadleaved,19.3,8.12,31.63
4,30+cm,LI,777,Cropland,broadleaved,8.12,0.08,16.8
3,0-30cm,Active,674,Cropland,coniferous,56.08,40.67,73.18
3,0-30cm,Passive,346,Cropland,coniferous,62.13,46.06,79.98
3,0-30cm,SOC,199,Cropland,coniferous,48.62,31.68,67.73
3,0-30cm,LI,230,Cropland,coniferous,61.23,32.05,96.85
4,30+cm,Active,321,Cropland,coniferous,44.7,18.38,76.86
4,30+cm,Passive,162,Cropland,coniferous,-2.4,-20.24,19.43
4,30+cm,SOC,67,Cropland,coniferous,22.78,-1.68,53.33
4,30+cm,LI,115,Cropland,coniferous,68.77,38.17,106.16
3,0-30cm,Active,304,Cropland,mixed,80.81,51.32,116.04
3,0-30cm,Passive,151,Cropland,mixed,42.01,17.47,71.66
3,0-30cm,SOC,116,Cropland,mixed,50.02,23.14,82.75
3,0-30cm,LI,140,Cropland,mixed,16.16,1.57,32.83
4,30+cm,Active,173,Cropland,mixed,-9.31,-38.79,34.39
4,30+cm,Passive,93,Cropland,mixed,-19.53,-46.03,20
4,30+cm,SOC,38,Cropland,mixed,35.19,-10.4,104
4,30+cm,LI,94,Cropland,mixed,21.24,5.87,38.83
3,0-30cm,Active,991,Grassland,broadleaved,22.69,11.98,34.42
3,0-30cm,Passive,451,Grassland,broadleaved,15.73,5.4,27.07
3,0-30cm,SOC,283,Grassland,broadleaved,20.85,9.34,33.56
3,0-30cm,LI,421,Grassland,broadleaved,0.65,-10.01,12.56
4,30+cm,Active,324,Grassland,broadleaved,3.79,-11.38,21.56
4,30+cm,Passive,148,Grassland,broadleaved,18.23,0.48,39.11
4,30+cm,SOC,81,Grassland,broadleaved,14.42,-4.09,36.5
4,30+cm,LI,147,Grassland,broadleaved,0.67,-10.06,12.67
3,0-30cm,Active,374,Grassland,coniferous,14.93,0.65,31.23
3,0-30cm,Passive,166,Grassland,coniferous,-5.64,-18.64,9.44
3,0-30cm,SOC,97,Grassland,coniferous,7.22,-8.74,25.97
3,0-30cm,LI,127,Grassland,coniferous,14.97,-4.84,38.91
4,30+cm,Active,110,Grassland,coniferous,16.6,-4.28,42.04
4,30+cm,Passive,78,Grassland,coniferous,0.84,-18.27,24.43
4,30+cm,SOC,35,Grassland,coniferous,9.23,-14.05,38.81
4,30+cm,LI,55,Grassland,coniferous,8.22,-10.51,30.87
3,0-30cm,Active,96,Grassland,mixed,18.33,-6.4,49.59
3,0-30cm,Passive,50,Grassland,mixed,2.13,-19.69,29.88
3,0-30cm,SOC,29,Grassland,mixed,10.31,-14.34,42.05
3,0-30cm,LI,42,Grassland,mixed,12.75,-8.58,39.06
4,30+cm,Active,16,Grassland,mixed,8.45,-20.49,47.93
4,30+cm,Passive,10,Grassland,mixed,-40.89,-57.97,-16.87
4,30+cm,SOC,12,Grassland,mixed,-26.27,-47.94,4.41
4,30+cm,LI,11,Grassland,mixed,16.46,-6.2,44.6
3,0-30cm,Active,1097,Natural,broadleaved,-24.03,-32.47,-14.54
3,0-30cm,Passive,437,Natural,broadleaved,-17.99,-27.48,-7.26
3,0-30cm,SOC,278,Natural,broadleaved,-24.8,-33.72,-14.67
3,0-30cm,LI,389,Natural,broadleaved,-12.65,-23.51,-0.26
4,30+cm,Active,328,Natural,broadleaved,-23.98,-34.63,-11.59
4,30+cm,Passive,131,Natural,broadleaved,-13.15,-25.78,1.63
4,30+cm,SOC,84,Natural,broadleaved,-13.6,-26.96,2.21
4,30+cm,LI,136,Natural,broadleaved,-18.34,-28.55,-6.68
3,0-30cm,Active,696,Natural,coniferous,-31.87,-37.44,-25.8
3,0-30cm,Passive,290,Natural,coniferous,-31.21,-36.85,-25.08
3,0-30cm,SOC,182,Natural,coniferous,-19,-25.65,-11.76
3,0-30cm,LI,227,Natural,coniferous,-18.09,-28.06,-6.73
4,30+cm,Active,216,Natural,coniferous,-26.59,-41.38,-8.07
4,30+cm,Passive,84,Natural,coniferous,-26.15,-41.91,-6.1
4,30+cm,SOC,37,Natural,coniferous,-29.24,-45.35,-8.39
4,30+cm,LI,61,Natural,coniferous,-7.59,-19.01,5.43
3,0-30cm,Active,193,Natural,mixed,-28.13,-41,-12.46
3,0-30cm,Passive,73,Natural,mixed,-27.26,-40.36,-11.29
3,0-30cm,SOC,57,Natural,mixed,-16.87,-34.08,4.84
3,0-30cm,LI,57,Natural,mixed,-34.16,-54.17,-5.43
4,30+cm,Active,163,Natural,mixed,-40.84,-52.64,-26.1
4,30+cm,Passive,38,Natural,mixed,-40.73,-52.62,-25.85
4,30+cm,SOC,27,Natural,mixed,-21.43,-38.83,0.91
4,30+cm,LI,32,Natural,mixed,-46.69,-62.95,-23.31